url,area,apartment type,size(sqm),bedrooms,age,price(USD/month),Walk-in Closet,Children's Play Area,Lobby in Building,Balcony,Private Pool,Shared Gym,ViewofLandmark,Maids Room,View of Landmark,Private Garden,Barbecue Area,Maid Service,Vastu-compliant,Shared Pool,Kitchen Appliances,Pets Allowed,Built in Wardrobes,Concierge,Private Gym,Private Jacuzzi,View of Water,Children's Pool,Security,Partlyfurnished,Study,Furnished,Covered Parking,Shared Spa,Central A/C
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-triangle-the-imperial-residence-the-imperial-residence-b-9248726.html?fbclid=IwAR1WtHkFsd8jf1Z9Q9OiLZMqTvYCy7X0in5HsuvUmb1bQA0IJKw8DXMTq1p,Jumeirah Village Triangle,Apartment,74,1,9,1102.5,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1
https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-dubai-land-villanova-amaranta-9196529.html?fbclid=IwAR02JkgHhO4_5-B2kHtjY2RFFzsqhvlCqdyEhlos_6kTIXRhsqyIiPDifAt,Dubai Land,Townhouse,158,3,,2700.0000000000005,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-burj-vista-burj-vista-1-9230395.html?38ca5c0407=23e88b7c42&387b660a57=100d0ca94b&3da10b1a9c=557e1aedab&c035c91bed=950809dee3&0103163635=bb885b5486&fbclid=IwAR2JnkwC8EBZ-4YgZzrwvMggycT_XybhzRhbKhycwXA7gJ4K9p-E_x7Mxt_,Downtown Dubai,Apartment,124,2,6,4050.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-creek-harbour-the-lagoons-harbour-gate-harbour-gate-tower-2-9144827.html,Dubai Creek Harbour (The Lagoons),Apartment,107,2,,2812.4775000000004,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-murjan-murjan-2-9168946.html,Jumeirah Beach Residence,Apartment,66,0,,2137.5,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1
https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-palm-jumeirah-garden-homes-garden-homes-frond-p-9252702.html,Palm Jumeirah,Villa,622,4,,29250.0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1
https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-dubai-waterfront-badrah-badrah-townhouses-8447677.html,Dubai Waterfront,Townhouse,117,2,,1451.25,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-the-address-sky-view-towers-the-address-sky-view-tower-1-9250395.html,Downtown Dubai,Apartment,123,2,4,7875.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0
https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-dubai-waterfront-badrah-badrah-townhouses-8447666.html,Dubai Waterfront,Townhouse,117,2,,1451.25,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-dubai-land-villanova-amaranta-9198299.html,Dubai Land,Villa,248,4,,3375.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
